cue,aoa,Lg10WF,Lg10CD,word_length,syll
alligator,-0.421241173,0.137886038,0.138400028,-0.453333333,-0.233333333
back,-0.40067795,0.068002912,0.066981061,-0.023333333,-0.02
bear,-0.127266629,0.003568034,-0.016837706,-0.12,0.05704698
bedroom,-0.308093915,0.038709371,0.02861184,0.046666667,-0.018918618
beside,-0.099242404,-0.001362277,0.030906708,-0.086666667,0.01
boots,-0.105517962,0.051200158,0.054406093,-0.153333333,-0.07
break,0.059146364,-0.080555089,-0.041674107,-0.013333333,0.006666667
bump,-0.099044049,0.030400687,0.0248,-0.18,-0.026666667
bye,-0.0772239,0.152810215,0.106179813,0.033333333,-0.063333333
call,-0.215939309,1.37E-04,0.032285978,-0.21,-0.096666667
carrots,-0.065084175,0.022548808,0.013691864,-0.14,-0.033333333
cat,-0.444193034,0.084923784,0.091196058,-0.123333333,-0.001817168
child,-0.038300799,0.109162768,0.077122571,-0.306666667,-0.126666667
clap,-0.37847043,0.009396832,0.030926101,0.04,0.011950948
clean,-0.078231158,0.005039356,0.034048092,-0.283333333,-0.013333333
climb,-0.090615875,0.047022043,0.040768823,-0.383333333,-0.13
cook,-0.389113686,0.100552338,0.096025476,-0.2,-0.08
couch,-0.314886454,0.079254323,0.069424242,-0.153333333,0.003333333
country,0.025913852,0.12425431,0.109527645,-0.546666667,-0.27
daddy,-0.613252501,0.112696273,0.073495333,-0.253333333,-0.048874025
day,0.027447609,-0.032025995,0.006185203,-0.076666667,-0.02
doll,-0.410729805,0.070955071,0.062130026,-0.22,-0.068428094
drink,-0.486936911,0.032454501,0.030089156,-0.103333333,-0.1
ear,-0.397148345,0.294402887,0.236774067,-0.306666667,-0.053333333
flower,-0.37208302,0.173209467,0.16530411,-0.136666667,-0.046666667
food,-0.385816327,0.068142102,0.06946097,-0.233333333,-0.136666667
give me five!,-0.265879606,-0.026174024,0.008946388,-0.046666667,-0.026666667
grandpa,-0.27940486,-0.05780744,-0.051985509,-0.173333333,-0.043333333
grrr,-0.115443213,0.086852088,0.070178379,-0.206666667,-0.062516948
have,-0.330388771,0.009401333,0.038268819,-0.166666667,-0.04
help,-0.164454787,0.108659145,0.096319348,-0.263333333,-0.113333333
lollipop,-0.072557229,0.085548067,0.080195935,-0.37,-0.123333333
lunch,-0.016145025,0.001590342,0.014575079,-0.043333333,-0.013333333
moose,-0.154708313,0.127374846,0.098849957,-0.173333333,-0.036666667
napkin,-0.023228904,0.022959115,0.032414168,-0.106666667,-0.056666667
ouch,-0.206542338,0.028347979,0.024701922,-0.123333333,-0.023333333
pajamas,-0.313979354,0.081731765,0.061484619,0.07,-0.057684186
party,-0.398835136,-0.044646775,-0.029248682,-0.033333333,-0.108561873
penny,-0.208103797,0.08616929,0.070493831,-0.08,-0.02
pig,-0.204951057,-0.043454416,-0.051742914,-0.19,-0.063333333
plant,-0.371102694,0.077883597,0.085999035,-0.046666667,-0.07
pool,-0.186879875,-2.01E-04,0.004416645,-0.12,0.006666667
purse,-0.456008806,0.133381976,0.112666592,-0.223333333,-0.02
puzzle,-0.259761092,0.086764966,0.064533333,-0.143333333,-0.046666667
refrigerator,-0.104955405,-0.02391182,-0.008182993,-0.126666667,-0.036666667
ride,-0.218385206,0.081212571,0.059168918,-0.416666667,-0.1
shirt,-0.179911542,0.081159107,0.081255316,0.073333333,0.056666667
spaghetti,-0.112917324,-0.001225757,-0.007264811,-0.106666667,-0.043333333
stick,-0.137851509,-9.13E-04,0.027160189,-0.023333333,-0.036666667
throw,0.030304054,-0.052002796,-0.008376123,-0.013333333,-0.07
tongue,-0.340562334,0.059673502,0.066744397,-0.263333333,-0.07
touch,-0.322047791,-0.002617911,0.050649889,-0.366666667,-0.123333333
tractor,-0.29698033,0.090633514,0.07980338,-0.486666667,-0.16
tummy,-0.179676482,0.051053424,0.051369735,-0.16,0
tuna,-0.310068608,0.146399096,0.10378941,-0.316666667,-0.053333333
turn around,-0.124488782,-0.081603675,-0.036678357,0.05,0.04
vanilla,-0.11151116,0.017495394,0.032023719,0.016666667,0
we,-0.139877707,0.004452678,-0.002897012,-0.246666667,0.043333333
would,-0.240109352,0.081636297,0.082498776,-0.186666667,-0.043333333
yum yum,-0.74080705,0.210009128,0.146807032,-0.583333333,-0.108896321
