,,Nleters,Lg10WF,AoA_Kup_lem
1,all gone,-0.443121,0.222753,-0.5863888
34,love,-0.7031794,0.3416205,-1.3834475
13,dance,-0.6134664,0.2136808,-1.1032897
35,medicine,-0.7178292,0.2882898,-1.0930832
26,high,-0.7037764,0.4159776,-1.0447379
56,thirsty,-0.3861122,0.2313049,-1.0210275
18,fine,-0.4046274,0.4254072,-1.0011346
41,people,-0.4501145,0.4199467,-0.9655581
7,careful,-0.7580887,0.3673925,-0.9550464
49,show,-0.5598264,0.3958529,-0.9511879
10,coffee,-0.3954594,0.2082681,-0.9327888
20,gas station,-0.4013784,0.2253298,-0.9260924
16,empty,-0.3722863,0.4025413,-0.912815
8,church,-0.5035461,0.4952312,-0.9076946
58,tiny,-0.5416667,0.2932546,-0.8874385
53,talk,-0.351272,0.1630695,-0.8783888
32,like,-0.6232545,0.2412366,-0.8713616
44,please,-0.3753258,0.1940536,-0.8666137
38,more,-0.377141,0.2930852,-0.8381737
2,ankle,-0.5748184,0.1480229,-0.8327002
68,yogurt,-0.4687864,0.1533903,-0.8138483
47,share,-0.5929301,0.3185515,-0.8056676
55,thank you,-0.4659883,0.2029977,-0.7941612
15,drive,-0.6734706,0.2802903,-0.7898314
50,sneaker,-0.4837823,0.1804251,-0.7875337
19,game,-0.5904762,0.2147498,-0.7764441
9,climb,-0.7827999,0.3232244,-0.7697708
29,kiss,-0.4995005,0.1040144,-0.7574559
21,glasses,-0.3524517,0.2391118,-0.752679
6,buy,-0.4421769,0.2589941,-0.7440958
3,bedroom,-0.4273903,0.2153609,-0.7425089
30,kitchen,-0.3578884,0.3569908,-0.7158463
51,stand,-0.69513,0.3798652,-0.7141391
11,coke,-0.6502463,0.2175733,-0.713266
67,yes,-0.6442305,0.1770342,-0.7095579
14,doctor,-0.7670251,0.1379963,-0.7089703
45,purse,-0.515512,0.1464191,-0.7028045
22,grrr,-0.5852202,0.1438503,-0.6869487
37,mommy,-0.4244439,0.3153985,-0.680511
54,teacher,-0.4821867,0.1964964,-0.6748233
39,movie,-0.4927298,0.1356831,-0.6698929
46,run,-0.4395771,0.2541709,-0.6554801
42,pillow,-0.3712375,0.1072072,-0.6462978
31,light,-0.4630096,0.1010805,-0.6328807
33,little,-0.3699248,0.1293596,-0.6183774
24,hat,-0.4014795,0.1984059,-0.6043498
17,feed,-0.4103805,0.1984697,-0.6041826
52,take,-0.36743,0.2016715,-0.5913358
64,will,-0.5771016,0.2731264,-0.5782341
63,why,-0.4155438,0.2254978,-0.5777813
59,truck,-0.6021918,0.1960523,-0.5724488
48,shopping,-0.3783853,0.2711292,-0.565621
66,with,-0.4287439,0.1933342,-0.5481738
25,hi,-0.4230964,0.2110786,-0.5467515
23,hafta/have to,-0.6704418,0.2594256,-0.5388757
12,daddy,-0.4649328,0.1455663,-0.5388618
65,wind,-0.3779896,0.1162365,-0.5300114
43,pizza,-0.4260118,0.129542,-0.5294571
40,on top of,-0.6031454,0.1660122,-0.5225669
28,jump,-0.4156691,0.1120327,-0.5193567
62,wanna/want to,-0.3629198,0.1925575,-0.4783982
4,bench,-0.3826864,0.2179041,-0.4652085
57,tiger,-0.3740233,0.1688363,-0.4632778
27,hug,-0.3763829,0.1227766,-0.4517584
60,try,-0.5780142,0.2353472,-0.4507703
36,mine,-0.4719904,0.2209006,-0.4268558
69,your,-0.504541,0.2544866,-0.413305
61,turn,-0.4354003,0.1265731,-0.4041516
5,bring,-0.4644068,0.2180719,-0.3737873
